Province name,District municipality name,District/Local municipality name,Total Population,Black African,Coloured,Indian/Asian,White,Informal Dwelling,Piped (tap) water on community stand,No access to piped (tap) water,Pit toilet,Bucket toilet,Communal refuse dump,Communal container/central collection point,Own refuse dump,Dump or leave rubbish anywhere (no rubbish disposal),Gas for lighting,Paraffin for lighting,Candles for lighting,Paraffin for cooking,Wood for cooking,Coal for cooking,Animal dung for cooking
Western Cape,Cape Winelands,Langeberg,94045.20643,23038.31033,58070.50875,135.4037949,12099.5944,1778.200108,392.2422891,341.6941275,58.48266247,314.2824964,530.4215509,779.6531044,1388.758643,293.3667927,76.61397834,241.1735881,284.3026034,279.4619167,159.770922,14.0248776,7.791598669
Western Cape,Overberg,Overberg,359446.3378,110182.5681,168843.3093,1075.581046,73499.72083,15542.51619,9872.536394,1590.347229,251.6961978,1904.381332,1136.175441,8540.733206,5397.664058,3395.332879,601.7622724,1036.200169,3293.615972,2605.758645,588.1017556,23.46614092,6.563211865
Western Cape,Overberg,Theewaterskloof,139563.1886,48480.72636,76990.37588,398.548382,11920.18849,8076.466737,5340.761578,1335.625537,81.12397107,1265.070029,334.0668228,2768.365265,3606.927001,3168.858128,170.0572642,513.6270155,1926.428644,1923.804117,224.583744,6.728178329,4.839925666
Western Cape,Overberg,Overstrand,132495.4197,50252.92863,35644.34426,380.5827187,44379.71601,5347.092107,3323.708603,94.35946308,76.39256989,218.8571914,316.2476461,3837.632978,301.7805658,108.6965503,362.2227627,443.6263802,969.6198026,480.4369259,74.50486102,10.17475073,1.723286199
Western Cape,Overberg,Cape Agulhas,40273.85641,5053.251952,24366.28842,162.3142932,9373.314146,837.487102,545.5536937,22.80627506,6.563211865,97.80603547,31.58767252,629.6975031,422.0303098,16.57299613,29.86438632,1.723286199,34.20941259,23.8696954,24.52956126,1.723286199,0.0
Western Cape,Overberg,Swellendam,47113.87302,6395.661153,31842.30068,134.1356522,7826.502182,1281.470247,662.5125186,137.5559535,87.61644493,322.6480758,454.2732995,1305.037459,1066.926181,101.2052049,39.6178592,77.22348726,363.358113,177.6479059,264.4835893,4.839925666,0.0
Western Cape,Garden Route,Garden Route,838457.3453,232881.9974,416541.8878,2815.796392,164588.6022,24503.234,14683.08614,1507.066083,3020.172646,6097.731479,1741.3866,13871.99207,7080.067775,2567.226721,630.6714896,1820.653739,4912.605001,3069.038713,3430.376957,55.8609224,12.7964908
Western Cape,Garden Route,Kannaland,31985.62404,442.4179652,27763.50187,80.33230817,2668.147282,282.1472167,307.4988822,103.2144821,437.9914573,337.3100985,103.3908986,362.9589782,1140.676016,129.7047031,34.20941259,1.723286199,278.4444884,5.004892131,517.2859574,1.723286199,1.723286199
Western Cape,Garden Route,Hessequa,71917.57847,3227.314834,52112.64144,208.2733049,15825.86269,813.5495403,373.9408379,97.5497241,179.7371155,187.4172169,186.904295,693.5027235,588.320911,58.83031877,36.33625327,4.674959201,91.22510025,4.839925666,154.3827219,3.281605932,0.0
Western Cape,Garden Route,Mossel Bay,140074.5667,41157.03923,48311.24678,452.6223747,47734.02169,3063.416994,2253.579861,311.86436,226.651674,480.8026047,325.6329262,1608.074169,1112.211027,463.8107597,84.23433721,163.7885385,306.0881047,276.0599664,152.1647357,6.3982454,6.233278935
Western Cape,Garden Route,George,294928.5109,103110.9947,130942.6392,1113.722398,54371.6087,9986.934552,4442.405389,461.5485251,682.1700213,2744.761574,656.5908726,4968.978114,1664.32483,1276.229784,205.6245833,990.013104,1714.304579,1913.139196,570.6179775,25.26304867,3.281605932
Western Cape,Garden Route,Oudtshoorn,138256.8452,10983.65976,105199.1464,411.7835805,12293.79615,2696.962551,1960.11922,142.9646742,493.599119,1331.738369,201.8099032,1523.671463,1763.090413,381.6044501,104.8287,123.1986039,1490.495144,210.7944419,1533.8907,12.96145727,0.0
Western Cape,Garden Route,Bitou,65239.57468,34305.16177,18801.30324,201.1764487,10756.89967,3049.228818,2111.525037,205.1086887,252.8690747,133.2820097,213.6724934,2435.981885,263.6151595,72.50754008,73.73592688,29.60807494,71.84767422,57.65783015,46.91455848,1.558319734,0.0
Western Cape,Garden Route,Knysna,96054.64538,39655.40908,33411.40889,347.8859769,20938.26605,4610.99433,3234.016913,184.8156292,747.1541842,882.4196069,53.38521093,2278.824741,547.829418,184.5391654,91.70227628,507.6471723,960.1999104,601.5424612,455.1203055,4.674959201,1.558319734
Western Cape,Central Karoo,Central Karoo,102173.3106,12150.11597,82329.04388,341.4722908,5717.634589,224.8917266,86.01464684,68.6574132,193.6268371,223.6609524,136.6904073,206.941886,1996.135719,71.96061861,60.26418661,4.839925666,383.3945348,29.93800787,717.0823903,12.96145727,0.0
Western Cape,Central Karoo,Laingsburg,11365.9353,394.2406364,9908.679731,58.18310965,854.8274133,78.90578548,4.839925666,13.12642373,63.66970064,11.79185219,29.36948693,43.96288548,555.3080304,1.723286199,4.509448944,1.558319734,77.45653402,3.281605932,132.9310815,4.674959201,0.0
